Index,Year,Team,Played,Won,Loss ,Tie,Points, POFF Played ,POFF Won,POFF Loss,Position,P-Points,O-Points,Rank
80,2017,KolkataKnightRiders,14,8,6,0,16,2,1,1,3,60,450,3
81,2017,KingsXIPunjab,14,7,7,0,14,0,0,0,5,40,340,4
82,2017,DelhiDaredevils,14,6,8,0,12,0,0,0,6,30,300,5
83,2017,GujaratLions,14,4,10,0,8,0,0,0,7,20,80,8
84,2017,RoyalChallengersBangalore,14,3,10,1,7,0,0,0,8,10,460,2
85,2018,SunrisersHyderabad,14,9,5,0,18,3,2,1,2,70,310,7
86,2018,ChennaiSuperKings,14,9,5,0,18,2,2,0,1,80,630,1
87,2018,KolkataKnightRiders,14,8,6,0,16,2,1,1,3,60,510,3
88,2018,RajasthanRoyals,14,7,7,0,14,1,0,1,4,50,390,5
89,2018,MumbaiIndians,14,6,8,0,12,0,0,0,5,40,610,2
90,2018,RoyalChallengersBangalore,14,6,8,0,12,0,0,0,6,30,490,4
91,2018,KingsXIPunjab,14,6,8,0,12,0,0,0,7,20,360,6
92,2018,DelhiDaredevils,14,5,9,0,10,0,0,0,8,10,310,8
93,2019,MumbaiIndians,14,9,5,0,18,2,2,0,1,80,690,2
94,2019,ChennaiSuperKings,14,9,5,0,18,3,2,1,2,70,700,1
95,2019,DelhiCapitals,14,9,5,0,18,2,1,1,3,60,60,8
96,2019,SunrisersHyderabad,14,6,8,0,12,1,0,1,4,50,360,7
97,2019,KolkataKnightRiders,14,6,8,0,12,0,0,0,5,40,550,3
98,2019,KingsXIPunjab,14,6,8,0,12,0,0,0,6,30,390,6
99,2019,RajasthanRoyals,14,5,8,1,11,0,0,0,7,20,410,5
100,2019,RoyalChallengersBangalore,14,5,8,1,11,0,0,0,8,10,500,4
101,2020,MumbaiIndians,14,9,5,0,18,2,2,0,1,80,770,1
102,2020,DelhiCapitals,14,8,6,0,16,3,1,2,2,70,130,8
103,2020,SunrisersHyderabad,14,7,7,0,14,2,1,1,3,60,420,5
104,2020,RoyalChallengersBangalore,14,7,7,0,14,1,0,1,4,50,550,4
105,2020,KolkataKnightRiders,14,7,7,0,14,0,0,0,5,40,590,3
106,2020,KingsXIPunjab,14,6,8,0,12,0,0,0,6,30,420,6
107,2020,ChennaiSuperKings,14,6,8,0,12,0,0,0,7,20,720,2
108,2020,RajasthanRoyals,14,6,8,0,12,0,0,0,8,10,420,7
